date,supply
2020-08-18 03:06,525781353.5
2020-08-19 01:20,504429028.9
2020-08-20 02:20,484626779.5
2020-08-21 03:20,466058632.9
2020-08-22 01:33,454757724.1
2020-08-23 02:33,442156224.6
2020-08-24 00:46,432161570.3
2020-08-25 01:46,421210178.8
2020-08-26 02:46,406581907
2020-08-27 01:00,392206740.3
2020-08-28 02:00,377653187.4
2020-08-29 03:00,367908846.5
2020-08-30 01:13,367908846.5
2020-08-31 02:13,389091778.8
2020-09-01 03:13,423059696.1
2020-09-02 01:26,474934157.7
2020-09-03 02:26,495433839
2020-09-04 00:40,495433839
2020-09-05 01:40,483430165.6
2020-09-06 02:40,469488628.4
2020-09-07 00:53,453579843.8
2020-09-08 01:53,440653984.2
2020-09-09 02:53,426100020.2
2020-09-10 01:06,415239739.6
2020-09-11 02:06,415239739.6
2020-09-12 03:06,411855823.3
2020-09-13 01:20,405237411.5
2020-09-14 02:20,394163717.6
2020-09-15 03:20,386679364.7
2020-09-16 01:33,377966130.3
2020-09-17 02:33,367807913.9
2020-09-18 00:46,358679742.8
2020-09-19 01:46,351077578.4
